dates,coin,date,prices,market_caps,total_vol
2022-10-19,bitcoin,1666224000000.0,19134.242664465204,367085331987.69183,23047051893.294765
2022-10-20,bitcoin,1666310400000.0,19031.15987195947,365098952754.63934,25712511231.935688
2022-10-21,bitcoin,1666396800000.0,19173.28046885863,367999082249.1525,30297335038.197
2022-10-22,bitcoin,1666483200000.0,19203.86547117714,368484939423.55475,13362526957.65784
2022-10-23,bitcoin,1666569600000.0,19574.824231840797,375197423662.3941,19928822961.41621
2022-10-24,bitcoin,1666656000000.0,19316.94062294213,370622833880.7626,28657172008.9177
2022-10-25,bitcoin,1666742400000.0,20095.152230674925,385476931983.84595,39846253138.59686
2022-10-26,bitcoin,1666828800000.0,20774.247496426033,398674628646.93066,50667020407.51415
2022-10-27,bitcoin,1666915200000.0,20278.36623205219,389238872375.6226,41829789298.17936
2022-10-28,bitcoin,1667001600000.0,20591.241208098614,395201306734.5831,36165609164.5681
2022-10-29,bitcoin,1667088000000.0,20800.70708772471,399135164712.3964,32806216910.570454
2022-10-30,bitcoin,1667174400000.0,20623.871497040946,395548335410.141,24707906148.749344
2022-10-31,bitcoin,1667260800000.0,20494.60120983709,393311097043.5727,37290619694.72375
2022-11-01,bitcoin,1667347200000.0,20489.646203160763,393218202887.5868,32262771910.727066
2022-11-02,bitcoin,1667433600000.0,20162.980904822525,387015867490.0914,44539856162.44828
2022-11-03,bitcoin,1667520000000.0,20210.912417111318,387756249891.6283,36562782563.979164
2022-11-04,bitcoin,1667606400000.0,21150.315583912397,405987599945.2726,429308200555.4099
